trial,timestamp_utc,build_time_s,up_to_complete_s,total_cycle_s,build_result,handshake_result,error
1,2026-06-28T13:38:22Z,53.168,15.868,84.100,success,success,
2,2026-06-28T13:40:08Z,47.649,16.391,65.084,success,success,
3,2026-06-28T13:41:34Z,46.351,15.996,63.378,success,success,
4,2026-06-28T13:42:59Z,46.753,15.915,63.698,success,success,
5,2026-06-28T13:44:24Z,46.844,15.850,63.725,success,success,
6,2026-06-28T13:45:48Z,45.532,15.904,62.465,success,success,
7,2026-06-28T13:47:12Z,48.020,15.897,64.939,success,success,
8,2026-06-28T13:48:38Z,45.921,16.190,63.129,success,success,
9,2026-06-28T13:50:03Z,47.554,15.997,64.578,success,success,
10,2026-06-28T13:51:28Z,47.119,15.782,63.932,success,success,
11,2026-06-28T13:52:54Z,46.613,15.907,63.541,success,success,
12,2026-06-28T13:54:18Z,46.868,15.942,63.842,success,success,
13,2026-06-28T13:55:43Z,46.089,15.979,63.104,success,success,
14,2026-06-28T13:57:08Z,59.471,16.754,77.292,success,success,
15,2026-06-28T13:58:47Z,57.299,16.769,75.121,success,success,
16,2026-06-28T14:00:24Z,59.766,16.789,77.602,success,success,
17,2026-06-28T14:02:03Z,57.613,16.344,74.986,success,success,
18,2026-06-28T14:03:40Z,66.551,17.141,84.769,success,success,
19,2026-06-28T14:05:27Z,63.253,16.767,81.062,success,success,
20,2026-06-28T14:07:09Z,61.406,16.708,79.191,success,success,
