trial,timestamp_utc,proto,up_to_complete_s,eapol_frames_found,mic_verification,msg2_mic_valid,msg3_mic_valid,msg4_mic_valid,result,error,pcap_path
1,2026-06-28T11:57:13Z,wpa3,16.105,4,not_applicable,,,,success,,
2,2026-06-28T11:57:51Z,wpa3,15.801,4,not_applicable,,,,success,,
3,2026-06-28T11:58:29Z,wpa3,15.889,4,not_applicable,,,,success,,
4,2026-06-28T11:59:08Z,wpa3,15.946,4,not_applicable,,,,success,,
5,2026-06-28T11:59:46Z,wpa3,15.904,4,not_applicable,,,,success,,
6,2026-06-28T12:00:24Z,wpa3,15.902,0,not_applicable,,,,timeout,handshake did not complete within 15s,/home/mughees/Downloads/wpa2-krack-lab/harness/results/failures/handshake/wpa3/trial_006_20260628_120102.pcap
7,2026-06-28T12:01:02Z,wpa3,15.832,4,not_applicable,,,,success,,
8,2026-06-28T12:01:40Z,wpa3,15.991,4,not_applicable,,,,success,,
9,2026-06-28T12:02:18Z,wpa3,15.731,4,not_applicable,,,,success,,
10,2026-06-28T12:02:56Z,wpa3,15.828,4,not_applicable,,,,success,,
11,2026-06-28T12:03:35Z,wpa3,15.872,4,not_applicable,,,,success,,
12,2026-06-28T12:04:13Z,wpa3,15.875,4,not_applicable,,,,success,,
13,2026-06-28T12:04:51Z,wpa3,15.963,4,not_applicable,,,,success,,
14,2026-06-28T12:05:29Z,wpa3,15.948,4,not_applicable,,,,success,,
15,2026-06-28T12:06:08Z,wpa3,15.849,4,not_applicable,,,,success,,
16,2026-06-28T12:06:46Z,wpa3,15.837,4,not_applicable,,,,success,,
17,2026-06-28T12:07:24Z,wpa3,15.957,4,not_applicable,,,,success,,
18,2026-06-28T12:08:02Z,wpa3,15.862,4,not_applicable,,,,success,,
19,2026-06-28T12:08:40Z,wpa3,15.991,4,not_applicable,,,,success,,
20,2026-06-28T12:09:18Z,wpa3,15.903,4,not_applicable,,,,success,,
21,2026-06-28T12:09:56Z,wpa3,15.838,4,not_applicable,,,,success,,
22,2026-06-28T12:10:35Z,wpa3,15.859,4,not_applicable,,,,success,,
23,2026-06-28T12:11:13Z,wpa3,15.897,4,not_applicable,,,,success,,
24,2026-06-28T12:11:51Z,wpa3,15.842,4,not_applicable,,,,success,,
25,2026-06-28T12:12:29Z,wpa3,15.785,0,not_applicable,,,,timeout,handshake did not complete within 15s,/home/mughees/Downloads/wpa2-krack-lab/harness/results/failures/handshake/wpa3/trial_025_20260628_121307.pcap
26,2026-06-28T12:13:07Z,wpa3,15.930,4,not_applicable,,,,success,,
27,2026-06-28T12:13:45Z,wpa3,16.004,4,not_applicable,,,,success,,
28,2026-06-28T12:14:23Z,wpa3,15.948,4,not_applicable,,,,success,,
29,2026-06-28T12:15:02Z,wpa3,15.814,4,not_applicable,,,,success,,
30,2026-06-28T12:15:40Z,wpa3,15.895,4,not_applicable,,,,success,,
31,2026-06-28T12:16:18Z,wpa3,15.919,4,not_applicable,,,,success,,
32,2026-06-28T12:16:56Z,wpa3,16.013,4,not_applicable,,,,success,,
33,2026-06-28T12:17:34Z,wpa3,15.820,4,not_applicable,,,,success,,
34,2026-06-28T12:18:12Z,wpa3,15.819,4,not_applicable,,,,success,,
35,2026-06-28T12:18:51Z,wpa3,15.812,4,not_applicable,,,,success,,
36,2026-06-28T12:19:29Z,wpa3,15.796,4,not_applicable,,,,success,,
37,2026-06-28T12:20:07Z,wpa3,15.866,4,not_applicable,,,,success,,
38,2026-06-28T12:20:45Z,wpa3,15.745,4,not_applicable,,,,success,,
39,2026-06-28T12:21:23Z,wpa3,15.915,4,not_applicable,,,,success,,
40,2026-06-28T12:22:02Z,wpa3,15.917,4,not_applicable,,,,success,,
41,2026-06-28T12:22:40Z,wpa3,15.815,4,not_applicable,,,,success,,
42,2026-06-28T12:23:18Z,wpa3,16.006,4,not_applicable,,,,success,,
43,2026-06-28T12:23:56Z,wpa3,15.873,4,not_applicable,,,,success,,
44,2026-06-28T12:24:35Z,wpa3,15.940,0,not_applicable,,,,timeout,handshake did not complete within 15s,/home/mughees/Downloads/wpa2-krack-lab/harness/results/failures/handshake/wpa3/trial_044_20260628_122513.pcap
45,2026-06-28T12:25:13Z,wpa3,15.939,4,not_applicable,,,,success,,
46,2026-06-28T12:25:51Z,wpa3,16.004,4,not_applicable,,,,success,,
47,2026-06-28T12:26:29Z,wpa3,16.035,4,not_applicable,,,,success,,
48,2026-06-28T12:27:08Z,wpa3,15.771,4,not_applicable,,,,success,,
49,2026-06-28T12:27:46Z,wpa3,15.864,4,not_applicable,,,,success,,
50,2026-06-28T12:28:24Z,wpa3,15.830,4,not_applicable,,,,success,,
51,2026-06-28T12:29:02Z,wpa3,15.847,4,not_applicable,,,,success,,
52,2026-06-28T12:29:40Z,wpa3,15.989,4,not_applicable,,,,success,,
53,2026-06-28T12:30:19Z,wpa3,15.823,4,not_applicable,,,,success,,
54,2026-06-28T12:30:57Z,wpa3,15.870,4,not_applicable,,,,success,,
55,2026-06-28T12:31:35Z,wpa3,15.890,4,not_applicable,,,,success,,
56,2026-06-28T12:32:13Z,wpa3,15.813,4,not_applicable,,,,success,,
57,2026-06-28T12:32:51Z,wpa3,15.836,4,not_applicable,,,,success,,
58,2026-06-28T12:33:29Z,wpa3,15.826,4,not_applicable,,,,success,,
59,2026-06-28T12:34:07Z,wpa3,15.862,4,not_applicable,,,,success,,
60,2026-06-28T12:34:45Z,wpa3,15.931,4,not_applicable,,,,success,,
61,2026-06-28T12:35:24Z,wpa3,15.941,4,not_applicable,,,,success,,
62,2026-06-28T12:36:02Z,wpa3,15.963,4,not_applicable,,,,success,,
63,2026-06-28T12:36:40Z,wpa3,15.946,4,not_applicable,,,,success,,
64,2026-06-28T12:37:18Z,wpa3,15.939,4,not_applicable,,,,success,,
65,2026-06-28T12:37:56Z,wpa3,15.826,4,not_applicable,,,,success,,
66,2026-06-28T12:38:35Z,wpa3,15.856,4,not_applicable,,,,success,,
67,2026-06-28T12:39:13Z,wpa3,15.995,4,not_applicable,,,,success,,
68,2026-06-28T12:39:51Z,wpa3,15.821,4,not_applicable,,,,success,,
69,2026-06-28T12:40:29Z,wpa3,15.817,4,not_applicable,,,,success,,
70,2026-06-28T12:41:07Z,wpa3,15.911,4,not_applicable,,,,success,,
71,2026-06-28T12:41:46Z,wpa3,15.935,4,not_applicable,,,,success,,
72,2026-06-28T12:42:24Z,wpa3,15.881,4,not_applicable,,,,success,,
73,2026-06-28T12:43:02Z,wpa3,15.864,4,not_applicable,,,,success,,
74,2026-06-28T12:43:40Z,wpa3,15.874,4,not_applicable,,,,success,,
75,2026-06-28T12:44:18Z,wpa3,15.907,4,not_applicable,,,,success,,
76,2026-06-28T12:44:57Z,wpa3,15.990,4,not_applicable,,,,success,,
77,2026-06-28T12:45:35Z,wpa3,15.739,4,not_applicable,,,,success,,
78,2026-06-28T12:46:13Z,wpa3,15.979,4,not_applicable,,,,success,,
79,2026-06-28T12:46:51Z,wpa3,15.895,4,not_applicable,,,,success,,
80,2026-06-28T12:47:29Z,wpa3,15.920,4,not_applicable,,,,success,,
81,2026-06-28T12:48:08Z,wpa3,15.979,4,not_applicable,,,,success,,
82,2026-06-28T12:48:46Z,wpa3,16.066,0,not_applicable,,,,timeout,handshake did not complete within 15s,/home/mughees/Downloads/wpa2-krack-lab/harness/results/failures/handshake/wpa3/trial_082_20260628_124924.pcap
83,2026-06-28T12:49:24Z,wpa3,15.961,4,not_applicable,,,,success,,
84,2026-06-28T12:50:02Z,wpa3,15.922,4,not_applicable,,,,success,,
85,2026-06-28T12:50:40Z,wpa3,15.866,4,not_applicable,,,,success,,
86,2026-06-28T12:51:19Z,wpa3,15.960,4,not_applicable,,,,success,,
87,2026-06-28T12:51:57Z,wpa3,15.895,4,not_applicable,,,,success,,
88,2026-06-28T12:52:35Z,wpa3,15.886,4,not_applicable,,,,success,,
89,2026-06-28T12:53:13Z,wpa3,15.900,4,not_applicable,,,,success,,
90,2026-06-28T12:53:51Z,wpa3,15.838,4,not_applicable,,,,success,,
91,2026-06-28T12:54:29Z,wpa3,15.878,4,not_applicable,,,,success,,
92,2026-06-28T12:55:07Z,wpa3,15.883,4,not_applicable,,,,success,,
93,2026-06-28T12:55:46Z,wpa3,15.969,4,not_applicable,,,,success,,
94,2026-06-28T12:56:24Z,wpa3,15.893,4,not_applicable,,,,success,,
95,2026-06-28T12:57:02Z,wpa3,15.953,4,not_applicable,,,,success,,
96,2026-06-28T12:57:40Z,wpa3,15.822,4,not_applicable,,,,success,,
97,2026-06-28T12:58:19Z,wpa3,15.902,4,not_applicable,,,,success,,
98,2026-06-28T12:58:57Z,wpa3,15.975,4,not_applicable,,,,success,,
99,2026-06-28T12:59:35Z,wpa3,15.835,4,not_applicable,,,,success,,
100,2026-06-28T13:00:13Z,wpa3,15.818,4,not_applicable,,,,success,,
